date;start lat;start lon;end lat;end lon;vehiclesCount
18.01.2016 08:08;50.338780;19.086490;50.254370;19.017660;3
18.01.2016 09:35;50.192311;18.843370;50.318320;18.888550;3
18.01.2016 08:19;50.267860;18.836480;50.333270;18.780250;3
18.01.2016 11:17;50.219340;19.072870;50.309460;18.973640;3
18.01.2016 08:25;50.224150;19.063400;50.286120;19.132310;3
18.01.2016 11:26;50.224150;19.063400;50.286120;19.132310;3
18.01.2016 08:26;50.235816;19.091471;50.296260;18.935610;4
18.01.2016 09:47;50.235816;19.091471;50.296260;18.935610;3
18.01.2016 15:00;50.274013;18.683466;50.298390;19.134520;3
18.01.2016 09:04;50.298280;19.041430;50.269540;19.002970;3
18.01.2016 08:29;50.285236;18.968159;50.298220;18.676630;3
18.01.2016 14:31;50.185202;18.916089;50.302770;18.934250;3
18.01.2016 10:00;50.389970;18.954470;50.298020;18.780610;3
18.01.2016 10:00;50.389970;18.954470;50.298020;18.780610;3
18.01.2016 08:34;50.377390;18.943770;50.298020;18.780610;3
23.01.2016 10:36;50.244581;19.029787;50.306210;18.774880;3
18.01.2016 09:56;50.298240;18.954590;50.136130;18.964220;3
18.01.2016 10:03;50.377390;18.943770;50.298020;18.780610;3
18.01.2016 11:36;50.276790;18.976330;50.372150;18.802410;3
18.01.2016 10:45;50.276790;18.976330;50.372150;18.802410;3
18.01.2016 10:34;50.298240;18.954590;50.102300;19.042390;3
18.01.2016 08:38;50.298240;18.954590;50.102300;19.042390;3
18.01.2016 09:17;50.298240;18.954590;50.102300;19.042390;3
18.01.2016 08:45;50.298240;18.954590;50.102300;19.042390;3
18.01.2016 11:15;50.243010;18.903820;50.286120;19.132310;3
19.01.2016 05:45;50.298240;18.954590;50.102300;19.042390;4
19.01.2016 05:42;50.298240;18.954590;50.102300;19.042390;4
19.01.2016 05:30;50.298240;18.954590;50.107660;19.000650;3
24.01.2016 05:30;50.298240;18.954590;50.094101;19.061912;3
18.01.2016 08:46;50.494090;18.585990;50.441480;18.513830;3
19.01.2016 05:30;50.298240;18.954590;50.094101;19.061912;3
18.01.2016 09:10;50.305560;18.782710;50.317860;18.594640;3
23.01.2016 05:30;50.298240;18.954590;50.094101;19.061912;3
18.01.2016 08:49;50.494090;18.585990;50.441480;18.513830;4
24.01.2016 05:30;50.298240;18.954590;50.107660;19.000650;3
24.01.2016 05:30;50.298240;18.954590;50.102300;19.042390;3
18.01.2016 08:48;50.494090;18.585990;50.257600;19.017180;4
18.01.2016 12:43;50.494090;18.585990;50.257600;19.017180;4
18.01.2016 09:28;50.279210;19.126860;50.369576;18.801960;3
18.01.2016 09:04;50.298280;19.041430;50.269540;19.002970;3
18.01.2016 09:00;50.298280;19.041430;50.269540;19.002970;3
19.01.2016 07:04;50.493133;18.909732;50.068450;19.947460;3
19.01.2016 17:08;50.493133;18.909732;50.068450;19.947460;3
18.01.2016 09:45;50.298280;19.041430;50.269540;19.002970;3
18.01.2016 09:05;50.298280;19.041430;50.269540;19.002970;3
19.01.2016 10:46;50.493133;18.909732;50.068450;19.947460;3
18.01.2016 09:08;50.320880;19.166790;50.321050;18.663730;3
18.01.2016 09:10;50.289170;19.087320;50.125600;19.007810;3
18.01.2016 09:49;50.289170;19.087320;50.125600;19.007810;4
18.01.2016 10:19;50.289170;19.087320;50.125600;19.007810;4
18.01.2016 02:20;50.292940;18.642550;50.257600;19.017180;3
18.01.2016 08:06;50.281570;18.977220;50.173030;18.899360;3
18.01.2016 09:19;50.244810;19.127140;50.275860;19.123350;3
18.01.2016 10:40;50.253750;19.034660;50.268810;18.791470;3
18.01.2016 09:55;50.313990;19.003840;50.287140;18.677590;3
18.01.2016 09:25;50.253750;19.034660;50.268810;18.791470;3
18.01.2016 11:44;50.313990;19.003840;50.287140;18.677590;4
18.01.2016 09:22;49.658560;18.854560;50.453810;18.495070;5
18.01.2016 09:23;50.279210;19.126860;50.369576;18.801960;3
18.01.2016 09:23;49.782934;19.058059;50.309460;18.973640;3
18.01.2016 09:27;50.294930;18.953350;50.301420;18.868680;3
18.01.2016 10:13;50.294930;18.953350;50.301420;18.868680;3
18.01.2016 09:29;50.227170;18.960260;50.343900;18.913340;3
18.01.2016 09:30;50.294930;18.953350;50.301420;18.868680;3
18.01.2016 09:31;50.088871;18.999713;49.829710;19.045460;3
18.01.2016 10:37;50.247102;18.981873;50.216810;19.157170;3
18.01.2016 09:37;50.200706;18.991049;50.224520;19.049040;3
18.01.2016 09:48;50.253750;19.034660;50.268810;18.791470;3
18.01.2016 10:08;50.253750;19.034660;50.268810;18.791470;3
18.01.2016 10:08;50.253750;19.034660;50.268810;18.791470;3
18.01.2016 09:34;50.311890;18.767430;50.333270;18.780250;3
18.01.2016 09:44;50.289170;19.087320;50.125600;19.007810;4
18.01.2016 10:03;50.289170;19.087320;50.125600;19.007810;4
18.01.2016 09:45;50.259324;19.052641;50.370830;18.846820;3
18.01.2016 10:42;50.271170;19.005340;50.251250;19.014480;3
18.01.2016 09:57;50.466730;19.231680;50.327490;19.073690;4
18.01.2016 11:43;50.466730;19.231680;50.327490;19.073690;4
18.01.2016 15:00;50.355470;18.906180;50.271170;19.005340;3
18.01.2016 10:01;50.252760;19.008850;50.123020;19.050600;3
18.01.2016 10:00;50.314920;18.878480;50.249878;19.022114;3
18.01.2016 10:23;50.314920;18.878480;50.249878;19.022114;3
